star_rating,review_body
-1,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice."
1,"I’m embarrassed to admit that until recently, I have had a very negative opinion about “selfie sticks” aka “monopods” aka “narcissticks.” But having reviewed a number of them recently, they’re growing on me. This one is pretty nice and simple to set up and with easy instructions illustrated on the back of the box (not sure why some reviewers have stated that there are no instructions when they are clearly printed on the box unless they received different packaging than I did). Once assembled, the pairing via bluetooth and use of the stick are easy and intuitive. Nothing to it.<br /><br />The stick comes with a USB charging cable but arrived with a charge so you can use it immediately, though it’s probably a good idea to charge it right away so that you have no interruption of use out of the box. Make sure the stick is switched to on (it will light up) and extend your stick to the length you desire up to about a yard’s length and snap away.<br /><br />The phone clamp held the phone sturdily so I wasn’t worried about it slipping out. But the longer you extend the stick, the harder it is to maneuver.  But that will happen with any stick and is not specific to this one in particular.<br /><br />Two things that could improve this: 1) add the option to clamp this in portrait orientation instead of having to try and hold the stick at the portrait angle, which makes it feel unstable; 2) add the opening for a tripod so that this can be used to sit upright on a table for skyping and facetime eliminating the need to hold the phone up with your hand, causing fatigue.<br /><br />But other than that, this is a nice quality monopod for a variety of picture taking opportunities.<br /><br />I received a sample in exchange for my honest opinion."
1,Fits iPhone 6 well
1,Great charger.  I easily get 3+ charges on a Samsung Galaxy 3.  Works perfectly for camping trips or long days on the boat.
1,Great for the price :-)
1,"Great Case, better customer service!"
1,Easy to set up and use. Great functions for the price
1,Works great
1,So far so good. It is essentially identical to the one it replaced from another company. That one stopped working after 7 months so I am a bit apprehensive about this one.
0,"seems durable but these are always harder to get on right than people make them out to be. also send to curl up at the edges after a while. with today's smartphones, you hardly need screen protectors anyway."
1,"Super thin, lightweight, and non intrusive. Feels amazing, isn't add protective as other cases but I get to enjoy and show off my phone more."
1,"As good as the Samsung Galaxies, in my opinion."
1,"I received this on time and its great. I went on a long trip and used it. I have an iPhone 4 s a BLU Android phone and my husband has a small flip phone, it worked great on all of them and I also had a blue tooth I charged on it."
-1,Very cheap case. This not protect anything. Very fragil.!! After i got it I went to buy a otter case expensive but worth it.
1,son loves it.
-1,you have to turn power off to this unit once or twice a day to keep it working
1,"Awesome, thank you"
1,"nice, smart"
1,We love these headphones. We had a pair each for our 2 and 4 year old. They loved them and thought it was great that they could share one device but each have their own set of headphones. Very comfortable as well.
1,This is well worth the money.
-1,This cord didn't work at all
1,"Initial review after having this Kinivo for 48 hours?  This has been what I've been searching for the last few years trying to use a system to sync up my calls and music.  I've used the motorola tx550 (terrible), Satechi Soundfly BT, and numerous other failed devices.  I was not only able to set this up in literally under a minute, I was later able to completely hide all the wires under my dash which made me even happier.<br /><br />I will periodically update on this device."
1,"Great cords!! 10ft cords for this price? And they all work just fine, will buy these again!"
-1,The car plug in broke within a week of using it.
1,"Excellent addition to my alcatel one touch pop 7 ,,, case is attractive and we'll made, the keyboard works great with my tablet .. this product brings my tablet to a new level"
1,"Not bad. I LOVE these style of Bluetooth headsets. This one is slightly different from my very first pair I got over a year ago. They are the same shape but this one is not as finished as my current set.  The sound quality is not as clear as my QCY set but is pretty good. It has a nice balance of sound and the bass is sufficient. The sound quality is not like those expensive Beats or bose headphones, but it’s good enough for the price point. These go in the ear so it does block sound out. It blocks noise out so well that when I’m using these in the office, I can get more work done because I don’t hear the chatter of people around me.<br /><br />These use your standard micro usb cables so there’s no fear if you lose the cable that this set comes with. It charges up full in about an hour from dead and right out of the box it charged up in about 30 minutes. The battery life lasts me about 3 work days before needing to be recharged and that includes using it while on the way home from work which is a one hour minimum drive to and from the office.<br /><br />When using this for phone calls, you must leave the left ear piece hanging down around your neck. The microphone is on that earpiece. If you leave it in your ear, the person on the other end will not hear you clearly because the mic will be by your ear. The one thing this set is missing is a clip so you can clip that ear piece onto your collar for phone calls. If you’re like me and always moving around, if the earpieces shuffles around, the person on the phone can hear all the movement.<br /><br />Also, the volume button. It is very temperamental. When I try to hit volume up, I barely touch it and it adjusts volume. When I press down on it adjust volume it has a slow reaction. It’s almost like it works like a touch screen. Holding down the volume up and down buttons while listening to music will skip forward and back on your song list. With very minimal buttons, this is a very easy headset to use. It comes with an instructional booklet complete with photo to show you where the buttons and mic are.<br /><br />It comes with multiple ear pieces so you can change them out to the most comfortable size for you.<br /><br />I was provided a promotional sample for my honest review.s with an instructional booklet complete with photo to show you where the buttons and mic are.<br /><br />It comes with multiple ear pieces so you can change them out to the most comfortable size for you.<br /><br />I was provided a promotional sample for my honest review."
1,"Daughter couldn't go down the river without her phone, so we had to get a case.  This worked perfectly. Not so big that it was hard to carry, and kept the water out!  She keeps it in the bathroom now and uses it when she takes a bath.  Glad it works!"
1,"Foam not good, clips ok so far..."
-1,right after I posted favorable review I noticed it was broken.
1,very good
1,ok
1,"This product is nicer that I was expecting.  And, arrived early!"
1,the only reason i didn't give this 5 stars was that it was super tough to get on and off the phone. other than that it's a solid case and it worked to expectation. i dropped my phone a few times while using this case and the case held up.<br /><br />i was given this case at a discounted rate in return for an unbiased opinion.
